,ID,Position,FullName,Link,FirstName,LastName,PrimaryNumber,BirthDate,BirthCity,BirthProvState,BirthCountry,Nationality,Height,Weight,Active,Rookie,RosterStatus
12,8459457,R,Jamie Langenbrunner,/api/v1/people/8459457,Jamie,Langenbrunner,15,1975-07-24,Cloquet,MN,USA,USA,"6' 1""",205,False,False,I
13,8459486,L,Krzysztof Oliwa,/api/v1/people/8459486,Krzysztof,Oliwa,19,1973-04-12,Tychy,,POL,POL,"6' 5""",245,False,False,N
14,8460498,C,Jason Wiemer,/api/v1/people/8460498,Jason,Wiemer,16,1976-04-14,Kimberley,BC,CAN,CAN,"6' 1""",225,False,False,N
15,8460542,C,Patrik Elias,/api/v1/people/8460542,Patrik,Elias,26,1976-04-13,Trebic,,CZE,CZE,"6' 1""",190,False,False,Y
16,8460580,D,Brad Lukowich,/api/v1/people/8460580,Brad,Lukowich,47,1976-08-12,Cranbrook,BC,CAN,CAN,"6' 1""",191,False,False,N
17,8462051,D,Sean Brown,/api/v1/people/8462051,Sean,Brown,23,1976-11-05,Oshawa,ON,CAN,CAN,"6' 3""",215,False,False,Y
18,8464968,C,Erik Rasmussen,/api/v1/people/8464968,Erik,Rasmussen,10,1977-03-28,Minneapolis,MN,USA,USA,"6' 1""",210,False,False,N
19,8465005,D,Colin White,/api/v1/people/8465005,Colin,White,5,1977-12-12,New Glasgow,NS,CAN,CAN,"6' 4""",215,False,False,Y
20,8466371,C,John Madden,/api/v1/people/8466371,John,Madden,10,1973-05-04,Toronto,ON,CAN,CAN,"5' 11""",190,False,False,Y
21,8467351,C,Scott Gomez,/api/v1/people/8467351,Scott,Gomez,23,1979-12-23,Anchorage,AK,USA,USA,"5' 11""",200,False,False,Y
22,8467407,R,Brian Gionta,/api/v1/people/8467407,Brian,Gionta,12,1979-01-18,Rochester,NY,USA,USA,"5' 7""",178,False,False,Y
23,8467856,D,Brian Rafalski,/api/v1/people/8467856,Brian,Rafalski,28,1973-09-28,Dearborn,MI,USA,USA,"5' 10""",194,False,False,N
24,8468502,D,David Hale,/api/v1/people/8468502,David,Hale,36,1981-06-18,Colorado Springs,CO,USA,USA,"6' 1""",222,False,False,N
25,8468536,R,Aleksander Suglobov,/api/v1/people/8468536,Aleksander,Suglobov,9,1982-01-15,Elektr,,RUS,RUS,"6' 0""",200,False,False,N
26,8468542,D,Paul Martin,/api/v1/people/8468542,Paul,Martin,7,1981-03-05,Minneapolis,MN,USA,USA,"6' 1""",200,False,False,N
27,8469499,L,Tuomas Pihlman,/api/v1/people/8469499,Tuomas,Pihlman,46,1982-11-13,Espoo,,FIN,FIN,"6' 2""",215,False,False,N
28,8470075,L,Jason Ryznar,/api/v1/people/8470075,Jason,Ryznar,49,1983-02-19,Anchorage,AK,USA,USA,"6' 3""",200,False,False,N
29,8470123,R,Cam Janssen,/api/v1/people/8470123,Cam,Janssen,25,1984-04-15,St. Louis,MO,USA,USA,"6' 0""",215,False,False,N
30,8470199,R,Barry Tallackson,/api/v1/people/8470199,Barry,Tallackson,41,1983-04-14,Grafton,ND,USA,USA,"6' 5""",215,False,False,N
31,8470610,L,Zach Parise,/api/v1/people/8470610,Zach,Parise,11,1984-07-28,Minneapolis,MN,USA,USA,"5' 11""",195,True,False,Y
32,8455710,G,Martin Brodeur,/api/v1/people/8455710,Martin,Brodeur,30,1972-05-06,Montreal,QC,CAN,CAN,"6' 2""",220,False,False,N
33,8466339,G,Scott Clemmensen,/api/v1/people/8466339,Scott,Clemmensen,40,1977-07-23,Des Moines,IA,USA,USA,"6' 2""",200,False,False,N
34,8458595,D,Alexei Zhitnik,/api/v1/people/8458595,Alexei,Zhitnik,77,1972-10-10,Kiev,,UKR,RUS,"5' 11""",225,False,False,N
35,8458939,C,Alexei Yashin,/api/v1/people/8458939,Alexei,Yashin,79,1973-11-05,Sverdlovsk,,RUS,RUS,"6' 3""",218,False,False,N
36,8459065,D,Joel Bouchard,/api/v1/people/8459065,Joel,Bouchard,4,1974-01-23,Montreal,QC,CAN,CAN,"6' 1""",209,False,False,I
37,8459458,D,Janne Niinimaa,/api/v1/people/8459458,Janne,Niinimaa,6,1975-05-22,Raahe,,FIN,FIN,"6' 1""",220,False,False,Y
38,8459527,C,Shawn Bates,/api/v1/people/8459527,Shawn,Bates,17,1975-04-03,Medford,MA,USA,USA,"6' 0""",210,False,False,N
39,8459534,R,Miroslav Satan,/api/v1/people/8459534,Miroslav,Satan,81,1974-10-22,Topolcany,,SVK,SVK,"6' 3""",191,False,False,Y
40,8462176,D,Brent Sopel,/api/v1/people/8462176,Brent,Sopel,55,1977-01-07,Calgary,AB,CAN,CAN,"6' 2""",205,False,False,Y
41,8465018,C,Oleg Kvasha,/api/v1/people/8465018,Oleg,Kvasha,11,1978-07-26,Moscow,,RUS,RUS,"6' 5""",230,False,False,Y
42,8465025,R,Arron Asham,/api/v1/people/8465025,Arron,Asham,45,1978-04-13,Portage la Prairie,MB,CAN,CAN,"5' 11""",210,False,False,N
43,8465026,R,Mark Parrish,/api/v1/people/8465026,Mark,Parrish,10,1977-02-02,Bloomington,MN,USA,USA,"5' 11""",199,False,False,N
44,8466266,L,Mike York,/api/v1/people/8466266,Mike,York,78,1978-01-03,Waterford,MI,USA,USA,"5' 10""",185,False,False,N
45,8466357,C,Wyatt Smith,/api/v1/people/8466357,Wyatt,Smith,34,1977-02-13,Thief River Falls,MN,USA,USA,"5' 11""",205,False,False,N
46,8467365,D,John Erskine,/api/v1/people/8467365,John,Erskine,4,1980-06-26,Kingston,ON,CAN,CAN,"6' 4""",220,False,False,I
47,8467466,R,Trent Hunter,/api/v1/people/8467466,Trent,Hunter,47,1980-07-05,Red Deer,AB,CAN,CAN,"6' 3""",217,False,False,N
48,8467469,D,Allan Rourke,/api/v1/people/8467469,Allan,Rourke,52,1980-03-06,Mississauga,ON,CAN,CAN,"6' 2""",215,False,False,N
49,8467844,L,Jason Blake,/api/v1/people/8467844,Jason,Blake,33,1973-09-02,Moorhead,MN,USA,USA,"5' 10""",190,False,False,Y
50,8467951,R,Mattias Weinhandl,/api/v1/people/8467951,Mattias,Weinhandl,18,1980-06-01,Ljungy,,SWE,SWE,"6' 0""",195,False,False,N
51,8468101,D,Radek Martinek,/api/v1/people/8468101,Radek,Martinek,4,1976-08-31,Havlickuv Brod,,CZE,CZE,"6' 0""",205,False,False,Y
52,8468153,R,Kevin Colley,/api/v1/people/8468153,Kevin,Colley,62,1979-01-04,New Haven,CT,USA,USA,"5' 10""",181,False,False,I
53,8468252,R,Eric Godard,/api/v1/people/8468252,Eric,Godard,18,1980-03-07,Vernon,BC,CAN,CAN,"6' 4""",222,False,False,N
54,8468634,C,Matt Koalska,/api/v1/people/8468634,Matt,Koalska,40,1980-05-16,St. Paul,MN,USA,USA,"6' 0""",205,False,False,N
55,8468682,D,Ryan Caldwell,/api/v1/people/8468682,Ryan,Caldwell,29,1981-06-15,Deloraine,MB,CAN,CAN,"6' 2""",174,False,False,N
56,8468747,D,Tomi Pettinen,/api/v1/people/8468747,Tomi,Pettinen,8,1977-06-17,Ylöjärvi,,FIN,FIN,"6' 3""",220,False,False,N
57,8469588,L,Cole Jarrett,/api/v1/people/8469588,Cole,Jarrett,63,1983-01-04,Sault Ste. Marie,ON,CAN,CAN,"5' 10""",200,False,False,N
58,8469994,R,Rob Collins,/api/v1/people/8469994,Rob,Collins,26,1978-03-15,Kitchener,ON,CAN,CAN,"5' 10""",185,False,False,N
59,8470176,L,Sean Bergenheim,/api/v1/people/8470176,Sean,Bergenheim,23,1984-02-08,Helsinki,,FIN,FIN,"5' 11""",201,False,False,N
60,8470268,D,Denis Grebeshkov,/api/v1/people/8470268,Denis,Grebeshkov,37,1983-10-11,Yaroslavl,,RUS,RUS,"6' 0""",206,False,False,N
61,8470329,D,Chris Campoli,/api/v1/people/8470329,Chris,Campoli,17,1984-07-09,Mississauga,ON,CAN,CAN,"6' 0""",200,False,False,Y
62,8470373,C,Jeff Hamilton,/api/v1/people/8470373,Jeff,Hamilton,51,1977-09-04,Dayton,OH,USA,USA,"5' 10""",185,False,False,Y
63,8470608,C,Robert Nilsson,/api/v1/people/8470608,Robert,Nilsson,12,1985-01-10,Calgary,AB,CAN,CAN,"5' 11""",185,False,False,N
64,8470620,L,Jeff Tambellini,/api/v1/people/8470620,Jeff,Tambellini,0,1984-04-13,Calgary,AB,CAN,CAN,"5' 11""",186,False,False,N
65,8470651,C,Jeremy Colliton,/api/v1/people/8470651,Jeremy,Colliton,37,1985-01-13,Blackie,AB,CAN,CAN,"6' 2""",214,False,False,N
66,8470659,L,Masi Marjamaki,/api/v1/people/8470659,Masi,Marjamaki,58,1985-01-16,Pori,,FIN,FIN,"6' 2""",184,False,False,N
67,8470774,D,Bruno Gervais,/api/v1/people/8470774,Bruno,Gervais,27,1984-10-03,Longueuil,QC,CAN,CAN,"6' 1""",200,False,False,N
68,8471229,C,Petteri Nokelainen,/api/v1/people/8471229,Petteri,Nokelainen,15,1986-01-16,Imatra,,FIN,FIN,"6' 1""",201,False,False,Y
69,8471360,L,Steve Regier,/api/v1/people/8471360,Steve,Regier,41,1984-08-31,Edmonton,AB,CAN,CAN,"6' 4""",194,False,False,N
70,8458075,G,Garth Snow,/api/v1/people/8458075,Garth,Snow,30,1969-07-28,Wrentham,MA,USA,USA,"6' 3""",200,False,False,N
71,8468481,G,Rick DiPietro,/api/v1/people/8468481,Rick,DiPietro,39,1981-09-19,Winthrop,MA,USA,USA,"6' 0""",185,False,False,N
72,8470584,G,Wade Dubielewicz,/api/v1/people/8470584,Wade,Dubielewicz,31,1979-01-30,Invermere,BC,CAN,CAN,"5' 10""",185,False,False,N
73,8448208,R,Jaromir Jagr,/api/v1/people/8448208,Jaromir,Jagr,68,1972-02-15,Kladno,,CZE,CZE,"6' 3""",230,False,False,N
74,8458534,L,Martin Rucinsky,/api/v1/people/8458534,Martin,Rucinsky,26,1971-03-11,Most,,CZE,CZE,"6' 1""",205,False,False,Y
75,8458544,D,Sandis Ozolinsh,/api/v1/people/8458544,Sandis,Ozolinsh,24,1972-08-03,Riga,,LVA,LVA,"6' 3""",215,False,False,Y
76,8458573,C,Michael Nylander,/api/v1/people/8458573,Michael,Nylander,92,1972-10-03,Stockholm,,SWE,SWE,"6' 1""",200,False,False,N
77,8458942,D,Darius Kasparaitis,/api/v1/people/8458942,Darius,Kasparaitis,6,1972-10-16,Elektrenai,,LTU,RUS,"5' 11""",215,False,False,N
78,8458955,C,Martin Straka,/api/v1/people/8458955,Martin,Straka,82,1972-09-03,Plzen,,CZE,CZE,"5' 9""",180,False,False,Y
79,8459284,C,Steve Rucchin,/api/v1/people/8459284,Steve,Rucchin,20,1971-07-04,Thunder Bay,ON,CAN,CAN,"6' 2""",210,False,False,I
80,8459493,D,Marek Malik,/api/v1/people/8459493,Marek,Malik,22,1975-06-24,Ostrava,,CZE,CZE,"6' 6""",235,False,False,Y
81,8460465,R,Petr Sykora,/api/v1/people/8460465,Petr,Sykora,15,1976-11-19,Plzen,,CZE,CZE,"6' 0""",190,False,False,Y
82,8460555,D,Jason Strudwick,/api/v1/people/8460555,Jason,Strudwick,43,1975-07-17,Edmonton,AB,CAN,CAN,"6' 4""",226,False,False,Y
83,8465012,D,Tom Poti,/api/v1/people/8465012,Tom,Poti,3,1977-03-22,Worcester,MA,USA,USA,"6' 3""",190,False,False,Y
84,8465058,D,Michal Rozsival,/api/v1/people/8465058,Michal,Rozsival,32,1978-09-03,Vlasim,,CZE,CZE,"6' 1""",210,False,False,I
85,8466147,R,Jason Ward,/api/v1/people/8466147,Jason,Ward,24,1979-01-16,Chapleau,ON,CAN,CAN,"6' 2""",208,False,False,N
86,8466210,L,Ville Nieminen,/api/v1/people/8466210,Ville,Nieminen,32,1977-04-06,Tampere,,FIN,FIN,"6' 1""",220,False,False,Y
87,8467361,C,Blair Betts,/api/v1/people/8467361,Blair,Betts,11,1980-02-16,Edmonton,AB,CAN,CAN,"6' 3""",210,False,False,I
88,8467882,C,Jamie Lundmark,/api/v1/people/8467882,Jamie,Lundmark,21,1981-01-16,Edmonton,AB,CAN,CAN,"6' 0""",197,False,False,N
89,8468055,L,Fedor Fedorov,/api/v1/people/8468055,Fedor,Fedorov,17,1981-06-11,Moscow,,RUS,RUS,"6' 4""",240,False,False,N
90,8468086,L,Alexandre Giroux,/api/v1/people/8468086,Alexandre,Giroux,28,1981-06-16,Quebec City,QC,CAN,CAN,"6' 3""",208,False,False,N
91,8468496,L,Marcel Hossa,/api/v1/people/8468496,Marcel,Hossa,81,1981-10-12,Ilava,,SVK,SVK,"6' 3""",220,False,False,Y
92,8468510,L,Jeff Taffe,/api/v1/people/8468510,Jeff,Taffe,23,1981-02-19,Hastings,MN,USA,USA,"6' 3""",207,False,False,N
93,8468575,C,Dominic Moore,/api/v1/people/8468575,Dominic,Moore,20,1980-08-03,Thornhill,ON,CAN,CAN,"6' 0""",192,False,False,Y
94,8468726,L,Chad Wiseman,/api/v1/people/8468726,Chad,Wiseman,46,1981-03-25,Burlington,ON,CAN,CAN,"6' 1""",205,False,False,N
95,8468778,R,Colton Orr,/api/v1/people/8468778,Colton,Orr,28,1982-03-03,Winnipeg,MB,CAN,CAN,"6' 3""",222,False,False,Y
96,8469492,D,Fedor Tyutin,/api/v1/people/8469492,Fedor,Tyutin,51,1983-07-19,Izhevsk,,RUS,RUS,"6' 2""",221,False,False,Y
97,8469561,D,Bryce Lampman,/api/v1/people/8469561,Bryce,Lampman,33,1982-08-31,Rochester,MN,USA,USA,"6' 1""",205,False,False,N
98,8469615,D,Maxim Kondratiev,/api/v1/people/8469615,Maxim,Kondratiev,20,1983-01-20,Togliatti,,RUS,RUS,"6' 1""",197,False,False,N
99,8469681,L,Ryan Hollweg,/api/v1/people/8469681,Ryan,Hollweg,15,1983-04-23,Downey,CA,USA,USA,"5' 10""",212,False,False,N
100,8469919,D,Thomas Pock,/api/v1/people/8469919,Thomas,Pock,17,1981-12-02,Klagenfurt,,AUT,AUT,"6' 1""",210,False,False,N
101,8470072,R,Petr Prucha,/api/v1/people/8470072,Petr,Prucha,16,1982-09-14,Chrudim,,CZE,CZE,"6' 0""",175,False,False,N
102,8470282,C,Jarkko Immonen,/api/v1/people/8470282,Jarkko,Immonen,38,1982-04-19,Rantasalmi,,FIN,FIN,"6' 0""",200,False,False,N
103,8470580,R,Jed Ortmeyer,/api/v1/people/8470580,Jed,Ortmeyer,41,1978-09-03,Omaha,NE,USA,USA,"6' 0""",200,False,False,N
104,8470656,D,David Liffiton,/api/v1/people/8470656,David,Liffiton,4,1984-10-18,Windsor,ON,CAN,CAN,"6' 2""",210,False,False,N
105,8459463,G,Kevin Weekes,/api/v1/people/8459463,Kevin,Weekes,1,1975-04-04,Toronto,ON,CAN,CAN,"6' 2""",215,False,False,Y
106,8468685,G,Henrik Lundqvist,/api/v1/people/8468685,Henrik,Lundqvist,35,1982-03-02,Are,,SWE,SWE,"6' 1""",182,True,False,Y
107,8470772,G,Chris Holt,/api/v1/people/8470772,Chris,Holt,35,1985-06-05,Vancouver,BC,CAN,CAN,"6' 3""",229,False,False,N
108,8446407,D,Eric Desjardins,/api/v1/people/8446407,Eric,Desjardins,37,1969-06-14,Rouyn,QC,CAN,CAN,"6' 1""",205,False,False,Y
109,8449807,C,Petr Nedved,/api/v1/people/8449807,Petr,Nedved,93,1971-12-09,Liberec,,CZE,CZE,"6' 3""",196,False,False,N
110,8450550,C,Keith Primeau,/api/v1/people/8450550,Keith,Primeau,25,1971-11-24,Toronto,ON,CAN,CAN,"6' 5""",220,False,False,I
111,8456531,D,Derian Hatcher,/api/v1/people/8456531,Derian,Hatcher,2,1972-06-04,Sterling Heights,MI,USA,USA,"6' 5""",235,False,False,I
112,8458125,R,Turner Stevenson,/api/v1/people/8458125,Turner,Stevenson,27,1972-05-18,Prince George,BC,CAN,CAN,"6' 3""",230,False,False,N
113,8458202,D,Chris Therien,/api/v1/people/8458202,Chris,Therien,6,1971-12-14,Ottawa,ON,CAN,CAN,"6' 5""",235,False,False,I
114,8458520,C,Peter Forsberg,/api/v1/people/8458520,Peter,Forsberg,21,1973-07-20,Ornskoldsvik,,SWE,SWE,"6' 0""",205,False,False,N
115,8458590,R,Mike Knuble,/api/v1/people/8458590,Mike,Knuble,9,1972-07-04,Toronto,ON,CAN,USA,"6' 3""",229,False,False,Y
116,8458682,L,Brian Savage,/api/v1/people/8458682,Brian,Savage,49,1971-02-24,Sudbury,ON,CAN,CAN,"6' 1""",200,False,False,Y
117,8458940,D,Mike Rathje,/api/v1/people/8458940,Mike,Rathje,3,1974-05-11,Mannville,AB,CAN,CAN,"6' 5""",235,False,False,I
118,8459246,L,Donald Brashear,/api/v1/people/8459246,Donald,Brashear,87,1972-01-07,Bedford,IN,USA,USA,"6' 3""",237,False,False,N
119,8460770,D,Kim Johnsson,/api/v1/people/8460770,Kim,Johnsson,8,1976-03-16,Malmö,,SWE,SWE,"6' 1""",193,False,False,Y
120,8462050,D,Denis Gauthier,/api/v1/people/8462050,Denis,Gauthier,21,1976-10-01,Montreal,QC,CAN,CAN,"6' 2""",220,False,False,Y
121,8462114,R,Sami Kapanen,/api/v1/people/8462114,Sami,Kapanen,24,1973-06-14,Vantaa,,FIN,FIN,"5' 10""",185,False,False,N
122,8462129,C,Michal Handzus,/api/v1/people/8462129,Michal,Handzus,26,1977-03-11,Banská Bystrica,,SVK,SVK,"6' 5""",215,False,False,Y
123,8465024,L,Jon Sim,/api/v1/people/8465024,Jon,Sim,16,1977-09-29,New Glasgow,NS,CAN,CAN,"5' 10""",189,False,False,N
124,8466184,R,Pat Kavanagh,/api/v1/people/8466184,Pat,Kavanagh,36,1979-03-14,Ottawa,ON,CAN,CAN,"6' 3""",200,False,False,Y
125,8466230,L,Ryan Ready,/api/v1/people/8466230,Ryan,Ready,14,1978-11-07,Peterborough,ON,CAN,CAN,"6' 2""",195,False,False,Y
126,8467342,C,Eric Chouinard,/api/v1/people/8467342,Eric,Chouinard,15,1980-07-08,Atlanta,GA,USA,CAN,"6' 3""",215,False,False,N
127,8467346,L,Simon Gagne,/api/v1/people/8467346,Simon,Gagne,12,1980-02-29,Ste. Foy,QC,CAN,CAN,"6' 1""",195,False,False,N
128,8467966,R,Branko Radivojevic,/api/v1/people/8467966,Branko,Radivojevic,92,1980-11-24,Piestany,,SVK,SVK,"6' 0""",208,False,False,Y
129,8468028,R,Niko Dimitrakos,/api/v1/people/8468028,Niko,Dimitrakos,43,1979-05-21,Somerville,MA,USA,USA,"5' 11""",193,False,False,N
130,8469469,C,R.J. Umberger,/api/v1/people/8469469,R.J.,Umberger,20,1982-05-03,Pittsburgh,PA,USA,USA,"6' 2""",214,False,False,N
131,8469544,L,Patrick Sharp,/api/v1/people/8469544,Patrick,Sharp,10,1981-12-27,Winnipeg,MB,CAN,CAN,"6' 1""",200,False,False,Y
132,8469619,D,Dennis Seidenberg,/api/v1/people/8469619,Dennis,Seidenberg,44,1981-07-18,Schwenningen,,DEU,DEU,"6' 0""",199,False,False,Y
133,8469668,D,David Printz,/api/v1/people/8469668,David,Printz,54,1980-07-24,Stockholm,,SWE,SWE,"6' 5""",220,False,False,N
134,8469844,L,Josh Gratton,/api/v1/people/8469844,Josh,Gratton,24,1982-09-09,Brantford,ON,CAN,CAN,"6' 2""",215,False,False,N
135,8470023,D,Wade Skolney,/api/v1/people/8470023,Wade,Skolney,43,1981-06-24,Wynyard,SK,CAN,CAN,"6' 0""",201,False,False,N
136,8470137,D,Joni Pitkanen,/api/v1/people/8470137,Joni,Pitkanen,25,1983-09-19,Oulu,,FIN,FIN,"6' 3""",220,False,False,N
137,8470244,R,Matt Ellison,/api/v1/people/8470244,Matt,Ellison,28,1983-12-08,Duncan,BC,CAN,CAN,"6' 0""",192,False,False,N
138,8470280,L,Ben Eager,/api/v1/people/8470280,Ben,Eager,55,1984-01-22,Ottawa,ON,CAN,CAN,"6' 2""",226,False,False,N
139,8470578,D,Freddy Meyer,/api/v1/people/8470578,Freddy,Meyer,24,1981-01-04,Sanbornville,NH,USA,USA,"5' 10""",185,False,False,I
140,8470604,C,Jeff Carter,/api/v1/people/8470604,Jeff,Carter,77,1985-01-01,London,ON,CAN,CAN,"6' 3""",219,True,False,Y
141,8470617,C,Mike Richards,/api/v1/people/8470617,Mike,Richards,10,1985-02-11,Kenora,ON,CAN,CAN,"5' 11""",196,False,False,Y
142,8470674,R,Stefan Ruzicka,/api/v1/people/8470674,Stefan,Ruzicka,14,1985-02-17,Nitra,,SVK,SVK,"6' 0""",200,False,False,N
143,8470678,D,Alexandre Picard,/api/v1/people/8470678,Alexandre,Picard,54,1985-07-05,Gatineau,QC,CAN,CAN,"6' 3""",215,False,False,N
144,8470680,C,Ryan Potulny,/api/v1/people/8470680,Ryan,Potulny,16,1984-09-05,Grand Forks,ND,USA,USA,"6' 0""",182,False,False,N
145,8470905,D,Randy Jones,/api/v1/people/8470905,Randy,Jones,12,1981-07-23,Quispamsis,NB,CAN,CAN,"6' 2""",210,False,False,Y
146,8465093,G,Robert Esche,/api/v1/people/8465093,Robert,Esche,42,1978-01-22,White,NY,USA,USA,"6' 1""",210,False,False,Y
147,8467511,G,Antero Niittymaki,/api/v1/people/8467511,Antero,Niittymaki,30,1980-06-18,Turku,,FIN,FIN,"6' 1""",195,False,False,N
148,8448622,L,John LeClair,/api/v1/people/8448622,John,LeClair,10,1969-07-05,St. Albans,VT,USA,USA,"6' 3""",233,False,False,N
149,8448782,C,Mario Lemieux,/api/v1/people/8448782,Mario,Lemieux,66,1965-10-05,Montreal,QC,CAN,CAN,"6' 4""",230,False,False,N
150,8449957,D,Lyle Odelein,/api/v1/people/8449957,Lyle,Odelein,24,1968-07-21,Quill Lake,SK,CAN,CAN,"6' 0""",212,False,False,I
151,8450725,R,Mark Recchi,/api/v1/people/8450725,Mark,Recchi,28,1968-02-01,Kamloops,BC,CAN,CAN,"5' 10""",195,False,False,Y
152,8458540,R,Ziggy Palffy,/api/v1/people/8458540,Ziggy,Palffy,33,1972-05-05,Skalica,,SVK,SVK,"5' 11""",181,False,False,N
153,8458838,D,Steve Poapst,/api/v1/people/8458838,Steve,Poapst,33,1969-01-03,Cornwall,ON,CAN,CAN,"5' 11""",199,False,False,Y
154,8458929,D,Cory Cross,/api/v1/people/8458929,Cory,Cross,4,1971-01-03,Lloydminster,AB,CAN,CAN,"6' 5""",225,False,False,Y
155,8458951,D,Sergei Gonchar,/api/v1/people/8458951,Sergei,Gonchar,55,1974-04-13,Chelyabinsk,,RUS,RUS,"6' 2""",210,False,False,N
156,8459008,D,Eric Cairns,/api/v1/people/8459008,Eric,Cairns,33,1974-06-27,Oakville,ON,CAN,CAN,"6' 6""",243,False,False,I
157,8459109,R,Ryan Vandenbussche,/api/v1/people/8459109,Ryan,Vandenbussche,37,1973-02-28,Simcoe,ON,CAN,CAN,"6' 0""",200,False,False,I
158,8459558,D,Alain Nasreddine,/api/v1/people/8459558,Alain,Nasreddine,32,1975-07-10,Montreal,QC,CAN,CAN,"6' 1""",204,False,False,N
159,8459615,C,Eric Boguniecki,/api/v1/people/8459615,Eric,Boguniecki,33,1975-05-06,New Haven,CT,USA,USA,"5' 8""",198,False,False,N
160,8460639,R,Andre Roy,/api/v1/people/8460639,Andre,Roy,27,1975-02-08,Port Chester,NY,USA,USA,"6' 4""",229,False,False,Y
161,8460757,D,Dick Tarnstrom,/api/v1/people/8460757,Dick,Tarnstrom,23,1975-01-20,Sundbyberg,,SWE,SWE,"6' 1""",205,False,False,Y
162,8464959,D,Ric Jackman,/api/v1/people/8464959,Ric,Jackman,5,1978-06-28,Toronto,ON,CAN,CAN,"6' 2""",214,False,False,Y
163,8466203,D,Josef Melichar,/api/v1/people/8466203,Josef,Melichar,6,1979-01-20,Ceské Budejovice,,CZE,CZE,"6' 2""",220,False,False,Y
164,8466320,L,Niklas Nordgren,/api/v1/people/8466320,Niklas,Nordgren,15,1979-06-28,Ornskoldsvik,,SWE,SWE,"6' 0""",185,False,False,N
165,8467333,L,Rico Fata,/api/v1/people/8467333,Rico,Fata,22,1980-02-12,Sault Ste. Marie,ON,CAN,CAN,"6' 0""",214,False,False,N
166,8467452,D,Rob Scuderi,/api/v1/people/8467452,Rob,Scuderi,7,1978-12-30,Syosset,NY,USA,USA,"6' 1""",216,False,False,N
167,8467564,C,Matt Hussey,/api/v1/people/8467564,Matt,Hussey,24,1979-05-28,New Haven,CT,USA,USA,"6' 2""",212,False,False,N
168,8467886,L,Jani Rita,/api/v1/people/8467886,Jani,Rita,28,1981-07-25,Helsinki,,FIN,FIN,"6' 1""",206,False,False,N
169,8467891,L,Konstantin Koltsov,/api/v1/people/8467891,Konstantin,Koltsov,71,1981-04-17,Minsk,,BLR,BLR,"6' 0""",218,False,False,Y
170,8467924,L,Matt Murley,/api/v1/people/8467924,Matt,Murley,18,1979-12-17,Troy,NY,USA,USA,"6' 2""",206,False,False,N
171,8467988,L,Ryan Malone,/api/v1/people/8467988,Ryan,Malone,12,1979-12-01,Pittsburgh,PA,USA,USA,"6' 4""",224,False,False,N
172,8468498,D,Brooks Orpik,/api/v1/people/8468498,Brooks,Orpik,44,1980-09-26,San Francisco,CA,USA,USA,"6' 3""",217,False,False,Y
173,8468517,L,Andy Hilbert,/api/v1/people/8468517,Andy,Hilbert,11,1981-02-06,Howell,MI,USA,USA,"5' 10""",188,False,False,N
174,8468532,C,Shane Endicott,/api/v1/people/8468532,Shane,Endicott,14,1981-12-21,Saskatoon,SK,CAN,CAN,"6' 3""",209,False,False,N
